rate,f0,vowel,cents,engine,estimated_hz,confidence,cents_error
48000,90,oo,-1200,legacy,37.20916759334221,0.7699848683938196,-329.1202621952565
48000,90,oo,-1200,synchronous,45.000009537405305,0.9999049281379364,0.00036692175677593964
48000,90,oo,-1200,spectral,45.000011207686555,0.9998858035042306,0.00043118058145852605
48000,90,oo,-700,legacy,60.50899806164714,0.8339107451490546,12.669633470893134
48000,90,oo,-700,synchronous,60.06784423572719,0.9999913557074093,0.0014640677801456283
48000,90,oo,-700,spectral,60.067842115033955,0.9999834997644153,0.001402946618744004
48000,90,oo,-100,legacy,84.99801912672126,0.9979068712099503,1.0050619434302537
48000,90,oo,-100,synchronous,84.94889932900325,0.9999979370135331,0.004303948717829712
48000,90,oo,-100,spectral,84.94882099106493,0.9999979971248536,0.0027074434096318284
48000,90,oo,25,legacy,91.2813772210295,0.9996023874758946,-0.5253313367865627
48000,90,oo,25,synchronous,91.30918298546386,0.9999166820815373,0.0019498815499843533
48000,90,oo,25,spectral,91.3091814938533,0.9999166361327607,0.0019216004183850617
48000,90,oo,100,legacy,95.29633979173268,0.9977279020220634,-1.0050379360825068
48000,90,oo,100,synchronous,95.35183321818296,0.9998646964161495,0.0028092472040137035
48000,90,oo,100,spectral,95.35178845930807,0.9998649392266439,0.00199659259859092
48000,90,oo,700,legacy,134.37245961326673,0.9204233944154976,-6.111311864974549
48000,90,oo,700,synchronous,134.8482636939772,0.9999982435591935,0.008046799005443967
48000,90,oo,700,spectral,134.8481523931646,0.9999959272306429,0.0066178756315404845
48000,90,oo,1200,legacy,47.356111141051436,0.9920482937388743,-2311.649266763359
48000,90,oo,1200,synchronous,180.00093204134487,0.999876545709144,0.008964319632280891
48000,90,oo,1200,spectral,180.00071206960726,0.9999034547974687,0.006848648394833616
48000,220,ah,-1200,legacy,110.19045275142865,0.9474293853181867,2.994847107273102
48000,220,ah,-1200,synchronous,110.00026062835124,0.9991276575671573,0.0041018921936453925
48000,220,ah,-1200,spectral,110.00021084310339,0.9995941447855097,0.003318349179902863
48000,220,ah,-700,legacy,146.94884051729278,0.986037588237802,1.3725422404810712
48000,220,ah,-700,synchronous,146.83292790478868,0.9999376951107006,0.006413409721777752
48000,220,ah,-700,spectral,146.83299340054253,0.9999586231911478,0.007185637419532442
48000,220,ah,-100,legacy,207.67012655548498,0.9997238094350844,0.14821000459754616
48000,220,ah,-100,synchronous,207.6543317413398,0.9998508470322863,0.016532134374817042
48000,220,ah,-100,spectral,207.65431332605846,0.9998472604785513,0.016378604403916665
48000,220,ah,25,legacy,223.19504237494152,0.9999504313818866,-0.038249773165031455
48000,220,ah,25,synchronous,223.2024195650962,0.9999805957483796,0.018971173960612722
48000,220,ah,25,spectral,223.20243225670066,0.9999812175424706,0.01906961436838887
48000,220,ah,100,legacy,233.0664259158466,0.9998161009561023,-0.11479587244962426
48000,220,ah,100,synchronous,233.08443127947854,0.9999724090865413,0.01894408799386334
