dynamic_pitch_p95_cents,engine,event,fold_image_db,input_max_step,max_step,peak,plosive_peak_offset_ms,rate,rms_gain_db,unvoiced_rmse
2.8829882583651525,legacy,vibrato,,0.003326416015625,0.003327608108520508,0.12371826171875,,96000,-0.055377848072504204,
0.0,synchronous,vibrato,,0.003326416015625,0.0032738447189331055,0.12536334991455078,,96000,-0.004869904155794948,
5.780419557331148,spectral,vibrato,,0.003326416015625,0.003326416015625,0.12371826171875,,96000,-0.6299204577528985,
84.4671934696776,legacy,slide,,0.00384521484375,0.0032585859298706055,0.12371706962585449,,96000,-1.352618487902299,
2.8877972485143224,synchronous,slide,,0.00384521484375,0.003994584083557129,0.13449478149414062,,96000,-1.1908953062636631,
5.925292733329144,spectral,slide,,0.00384521484375,0.0035456418991088867,0.16634178161621094,,96000,-0.7303590608320776,
170.2424595736041,legacy,hard_jump,,0.003265380859375,0.004875898361206055,0.12371301651000977,,96000,-2.094118463267909,
3.844111804577902e-13,synchronous,hard_jump,,0.003265380859375,0.003812432289123535,0.15143775939941406,,96000,-1.016807538553912,
3.844111804577902e-13,spectral,hard_jump,,0.003265380859375,0.00402224063873291,0.17257773876190186,,96000,0.20728237740555833,
57.6477099535062,legacy,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,96000,-2.3297847636204176,0.0
1.9220559022889507e-13,synchronous,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,96000,0.11137430689307229,0.0
1.9220559022889507e-13,spectral,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,96000,-0.48996634103746184,0.0
47.38788607094141,legacy,fast_slide,,0.00384521484375,0.0032727718353271484,0.1237180233001709,,96000,-1.2480832524242833,
2.8877972485143224,synchronous,fast_slide,,0.00384521484375,0.003992557525634766,0.13449478149414062,,96000,-1.117067286916566,
14.633003004362557,spectral,fast_slide,,0.00384521484375,0.003729104995727539,0.17181861400604248,,96000,-0.5139470684832763,
2.8877972485143224,legacy,breathy,,0.079498291015625,0.061875224113464355,0.16120445728302002,,96000,-1.6150722706837826,
14.37318143736107,synchronous,breathy,,0.079498291015625,0.06029677391052246,0.16276955604553223,,96000,-0.09143473382392574,
11.58020404046324,spectral,breathy,,0.079498291015625,0.066009521484375,0.156280517578125,,96000,-0.6325030707356095,
32.03383999850437,legacy,attacks,,0.003265380859375,0.003450155258178711,0.12371671199798584,,96000,-2.1312302520607487,0.0005295773306889685
1.4414941291828645,synchronous,attacks,,0.003265380859375,0.003643035888671875,0.12598133087158203,,96000,0.1219149214329524,0.0034782044583309313
2.8829882583655366,spectral,attacks,,0.003265380859375,0.0034842491149902344,0.12479722499847412,,96000,-0.5522046943124991,0.003496711992237869
,legacy,nyquist_probe_0.34,-142.6993972600823,,,,,96000,,
,synchronous,nyquist_probe_0.34,-139.7812358627564,,,,,96000,,
,spectral,nyquist_probe_0.34,-94.58808137315708,,,,,96000,,
,legacy,nyquist_probe_0.43,-0.00014848602319433217,,,,,96000,,
,synchronous,nyquist_probe_0.43,-150.0,,,,,96000,,
,spectral,nyquist_probe_0.43,-108.55728740653176,,,,,96000,,
,legacy,retune_0_ms,,,0.0030683279037475586,0.100006103515625,,48000,,
,synchronous,retune_0_ms,,,0.0035604238510131836,0.10409140586853027,,48000,,
,spectral,retune_0_ms,,,0.0030868053436279297,0.100006103515625,,48000,,
,legacy,retune_5_ms,,,0.003067493438720703,0.100006103515625,,48000,,
,synchronous,retune_5_ms,,,0.0035403966903686523,0.10409200191497803,,48000,,
,spectral,retune_5_ms,,,0.0030782222747802734,0.100006103515625,,48000,,
,legacy,retune_10_ms,,,0.00306856632232666,0.100006103515625,,48000,,
,synchronous,retune_10_ms,,,0.0035403966903686523,0.10409104824066162,,48000,,
,spectral,retune_10_ms,,,0.0030243396759033203,0.100006103515625,,48000,,
,legacy,retune_20_ms,,,0.0030649900436401367,0.100006103515625,,48000,,
,synchronous,retune_20_ms,,,0.0035403966903686523,0.10409224033355713,,48000,,
,spectral,retune_20_ms,,,0.003062009811401367,0.100006103515625,,48000,,
,legacy,retune_35_ms,,,0.003067612648010254,0.100006103515625,,48000,,
,synchronous,retune_35_ms,,,0.0035403966903686523,0.10409080982208252,,48000,,
,spectral,retune_35_ms,,,0.0031512975692749023,0.10027730464935303,,48000,,
,legacy,retune_50_ms,,,0.0030683279037475586,0.100006103515625,,48000,,
,synchronous,retune_50_ms,,,0.0035403966903686523,0.10409128665924072,,48000,,
,spectral,retune_50_ms,,,0.0032089948654174805,0.100006103515625,,48000,,
,legacy,retune_100_ms,,,0.0030597448348999023,0.100006103515625,,48000,,
,synchronous,retune_100_ms,,,0.0035403966903686523,0.10408949851989746,,48000,,
,spectral,retune_100_ms,,,0.003243088722229004,0.100006103515625,,48000,,
