rate,f0,vowel,cents,engine,pitch_error_cents,inharmonic_db,envelope_rmse_db,formant_fit_residual_db,rms_gain_db,rms_modulation_db,peak,dc,max_step,F1_hz,F1_error_hz,F1_error_percent,F2_hz,F2_error_hz,F2_error_percent,F3_hz,F3_error_hz,F3_error_percent
48000,90,ah,-25,spectral,0.004107903283524542,-53.11950362740553,2.9899961360640384,2.9439239673105004,-0.37994993480515615,2.237549031669282,0.160003662109375,-4.795694516764747e-06,0.017181396484375,727.0,-3.0,-0.4109589041095929,1080.0,-10.0,-0.917431192660545,2413.0,-27.0,-1.1065573770491777
48000,90,ah,25,legacy,4.359328154431897,-50.62637564547859,3.9572643212926986,3.8831838746509333,-3.4328558842702233,5.410318218722087,0.1597069501876831,8.168278468979729e-07,0.01738440990447998,767.0,37.0,5.068493150684938,1077.0,-13.0,-1.1926605504587129,2444.0,4.0,0.16393442622950616
48000,90,ah,25,synchronous,0.004051308466622732,-52.835258065358246,1.881903827218754,1.875391598126365,-0.049403518308167624,2.0203787271060296,0.15890586376190186,-3.8731015390819976e-07,0.0171128511428833,730.0,0.0,0.0,1087.0,-3.0,-0.27522935779816793,2430.0,-10.0,-0.4098360655737654
48000,90,ah,25,spectral,0.00395435602636712,-53.19735686423976,2.625207134678917,2.623639421027292,-0.40777855151841785,1.9294874730239213,0.160003662109375,2.4407166573736404e-05,0.017181396484375,734.0,4.0,0.5479452054794498,1087.0,-3.0,-0.27522935779816793,2437.0,-3.0,-0.12295081967212962
48000,90,ah,-50,legacy,-4.906335139198457,-52.36861350912206,3.2433971240573674,2.8705671566032427,-1.7593231037663972,6.592544267668928,0.15960705280303955,1.7702165577146742e-07,0.01667916774749756,718.0,-12.0,-1.6438356164383605,1050.0,-40.0,-3.669724770642202,2361.0,-79.0,-3.237704918032791
48000,90,ah,-50,synchronous,-0.004193526848989643,-52.6730435691594,1.9229222585666441,1.9140808530383377,-0.23754107534325344,2.3854509807082076,0.16125702857971191,1.3368667827712166e-05,0.017392635345458984,724.0,-6.0,-0.8219178082191747,1086.0,-4.0,-0.3669724770642202,2440.0,0.0,0.0
48000,90,ah,-50,spectral,-0.0041246371096709976,-53.10043543530536,2.9371881345535495,2.847436371226735,-0.4858094331481133,2.2634062114447833,0.160003662109375,3.753509786393907e-05,0.017181396484375,723.0,-7.0,-0.9589041095890427,1077.0,-13.0,-1.1926605504587129,2403.0,-37.0,-1.5163934426229542
48000,90,ah,50,legacy,4.356104173184905,-53.27999394642711,2.801675382424384,2.523078952947116,-1.7830065365104044,5.943163936289047,0.15989243984222412,-4.8935810724894205e-05,0.01767599582672119,760.0,30.0,4.109589041095885,1114.0,24.0,2.2018348623853212,2500.0,60.0,2.4590163934426146
48000,90,ah,50,synchronous,-0.0008136836899731772,-52.87544792454949,1.7735198516100263,1.7701721653518687,-0.29776547552826904,1.940636214966501,0.1565384864807129,-5.6450735363695355e-05,0.01692509651184082,727.0,-3.0,-0.4109589041095929,1087.0,-3.0,-0.27522935779816793,2434.0,-6.0,-0.24590163934425924
48000,90,ah,50,spectral,-0.0008143064775103387,-53.24202304826325,2.437766461437401,2.426736477341853,-0.6047125893241821,1.8756955726599287,0.160003662109375,-6.024254279004203e-05,0.017181396484375,736.0,6.0,0.8219178082191858,1097.0,7.0,0.6422018348623881,2450.0,10.0,0.4098360655737654
48000,90,ah,-100,legacy,-13.035717425954045,-50.21809265935944,4.201496990943332,3.188437816788766,-1.5067333847903552,6.377470309105159,0.1597580909729004,-4.219052692254384e-05,0.016193151473999023,703.0,-27.0,-3.698630136986303,1017.0,-73.0,-6.697247706422016,2290.0,-150.0,-6.147540983606559
48000,90,ah,-100,synchronous,-0.0008716163974336421,-52.90508163991252,2.12878913670423,2.1248610475824474,-0.4318191479759744,2.516620298248109,0.16363513469696045,-1.4638275735908084e-05,0.01764547824859619,724.0,-6.0,-0.8219178082191747,1090.0,0.0,0.0,2437.0,-3.0,-0.12295081967212962
48000,90,ah,-100,spectral,-0.0008719741291206738,-53.269356610280106,3.0140211913780597,2.80901918173875,-0.5665164614359779,2.3954548606785493,0.1629331111907959,1.777773102124532e-05,0.017181396484375,714.0,-16.0,-2.1917808219178103,1066.0,-24.0,-2.2018348623853212,2385.0,-55.0,-2.254098360655743
48000,90,ah,100,legacy,11.546167940557138,-49.40952682407708,3.6779626651533257,2.4131191968565107,-1.6656826350289182,5.635397599195485,0.15972959995269775,-1.9036585258113015e-05,0.01818990707397461,790.0,60.0,8.219178082191792,1150.0,60.0,5.504587155963292,2593.0,153.0,6.270491803278699
48000,90,ah,100,synchronous,0.003618768567971465,-52.462437714822684,2.5337224106155323,2.5256889671832847,-0.5538679951626555,1.203246885238008,0.15125513076782227,6.154206064012316e-05,0.016363143920898438,724.0,-6.0,-0.8219178082191747,1086.0,-4.0,-0.3669724770642202,2431.0,-9.0,-0.36885245901638886
48000,90,ah,100,spectral,0.003466749635173775,-52.83245042711398,1.6446282205875271,1.5485066966845404,-0.8912333130703519,1.1144905371697635,0.160003662109375,-5.994886159896851e-06,0.017181396484375,740.0,10.0,1.3698630136986356,1104.0,14.0,1.2844036697247763,2463.0,23.0,0.9426229508196826
48000,90,ah,-200,legacy,-23.784530587052032,-38.79375688557529,6.098235056500894,3.7469837373142547,-2.000615458641314,7.052905587905678,0.15973114967346191,5.594252712196774e-05,0.015304327011108398,663.0,-67.0,-9.178082191780824,963.0,-127.0,-11.651376146788994,2170.0,-270.0,-11.065573770491799
48000,90,ah,-200,synchronous,-0.0015635656760377438,-52.98616254066868,2.071729664486517,2.0705435079965273,-0.2145837194230859,2.766008145106083,0.16845595836639404,-3.7983101275232103e-06,0.018162250518798828,731.0,1.0,0.136986301369868,1090.0,0.0,0.0,2437.0,-3.0,-0.12295081967212962
48000,90,ah,-200,spectral,-0.0013668967120018546,-52.537732681166474,4.327068547078341,4.092985559976284,-0.5743985141168537,2.658186218808056,0.1666163206100464,9.056884381506178e-07,0.017181396484375,697.0,-33.0,-4.520547945205477,1060.0,-30.0,-2.752293577981646,2361.0,-79.0,-3.237704918032791
48000,90,ah,200,legacy,20.90050335083615,-36.261177024754154,5.370993818376121,1.6381865177781119,-1.7583292138514994,5.412011737150564,0.15960073471069336,-1.4359379808108012e-05,0.01926255226135254,834.9999999999999,104.99999999999989,14.383561643835607,1213.0,123.0,11.284403669724764,2726.0,286.0,11.721311475409845
48000,90,ah,200,synchronous,-0.0026717220119090775,-52.69636281640189,2.050611693581711,2.048619965878407,-0.08689972785951244,0.03827567801809375,0.15009701251983643,1.3251445359653897e-05,0.016495585441589355,727.0,-3.0,-0.4109589041095929,1090.0,0.0,0.0,2437.0,-3.0,-0.12295081967212962
48000,90,ah,200,spectral,-0.0026863903328119033,-52.282858889474056,2.040991095758928,1.841828977403222,-1.4602832675158994,0.30355617666887247,0.160003662109375,2.4980418384075165e-05,0.017181396484375,757.0,27.0,3.698630136986303,1126.0,36.0,3.3027522935779707,2470.0,30.0,1.2295081967213184
48000,90,ah,-300,legacy,-36.749759011712214,-31.1463313685349,8.074091563065833,4.8028972043182945,-1.9698306411744435,5.351430149002072,0.1597886085510254,-2.087477594614029e-05,0.014444112777709961,627.0,-103.0,-14.109589041095894,910.0,-180.0,-16.51376146788991,2057.0,-383.0,-15.696721311475414
48000,90,ah,-300,synchronous,-0.004580868559620001,-52.83683252133402,2.1993053916482572,2.1960772543488574,-0.3151758802906301,2.94100751623823,0.17338740825653076,-5.274836801820331e-05,0.01869511604309082,727.0,-3.0,-0.4109589041095929,1087.0,-3.0,-0.27522935779816793,2436.0,-4.0,-0.16393442622950616
48000,90,ah,-300,spectral,-0.00467606168605795,-51.263665462952375,4.880360610844054,4.656396437430628,-0.5861883863078153,2.759648137564028,0.17377400398254395,-2.189728948805067e-05,0.017584800720214844,710.0,-20.0,-2.73972602739726,1057.0,-33.0,-3.027522935779814,2353.0,-87.0,-3.5655737704918034
